country,region,population,area (km²),gdp ($ per capita),birthrate,deathrate,density (per km²),Date of admission,Membership duration (days)
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,700.0,46.6,20.34,48.0,1946-11-19,28167
Albania,EASTERN EUROPE,3581655,28748,4500.0,15.11,5.22,124.6,1955-12-14,24855
Algeria,NORTHERN AFRICA,32930091,2381740,6000.0,17.14,4.61,13.8,1962-10-08,22365
American Samoa,OCEANIA,57794,199,8000.0,22.46,3.27,290.4,,0
Andorra,WESTERN EUROPE,71201,468,19000.0,8.71,6.25,152.1,1993-07-28,11114
Angola,SUB-SAHARAN AFRICA,12127071,1246700,1900.0,45.11,24.2,9.7,1976-12-01,17197
Anguilla,LATIN AMER. & CARIB,13477,102,8600.0,14.17,5.34,132.1,,0
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,11000.0,16.93,5.37,156.0,,0
Argentina,LATIN AMER. & CARIB,39921833,2766890,11200.0,16.73,7.55,14.4,1945-10-24,28558
Armenia,C.W. OF IND. STATES,2976372,29800,3500.0,12.07,8.23,99.9,1992-03-02,11627
Aruba,LATIN AMER. & CARIB,71891,193,28000.0,11.03,6.68,372.5,,0
Australia,OCEANIA,20264082,7686850,29000.0,12.14,7.51,2.6,1945-11-01,28550
Austria,WESTERN EUROPE,8192880,83870,30000.0,8.74,9.76,97.7,1955-12-14,24855
Azerbaijan,C.W. OF IND. STATES,7961619,86600,3400.0,20.74,9.75,91.9,1992-03-02,11627
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,16700.0,17.57,9.05,21.8,,0
Bahrain,NEAR EAST,698585,665,16900.0,17.8,4.14,1050.5,1971-09-21,19095
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,1900.0,29.8,8.27,1023.4,1974-09-17,18003
Barbados,LATIN AMER. & CARIB,279912,431,15700.0,12.71,8.67,649.4,1966-12-09,20842
Belarus,C.W. OF IND. STATES,10293011,207600,6100.0,11.16,14.02,49.6,1945-10-24,28558
Belgium,WESTERN EUROPE,10379067,30528,29100.0,10.38,10.27,340.0,1945-12-27,28494
Belize,LATIN AMER. & CARIB,287730,22966,4900.0,28.84,5.72,12.5,1981-09-25,15438
Benin,SUB-SAHARAN AFRICA,7862944,112620,1100.0,38.85,12.22,69.8,1960-09-20,23113
Bermuda,NORTHERN AMERICA,65773,53,36000.0,11.4,7.74,1241.0,,0
Bhutan,ASIA (EX. NEAR EAST),2279723,47000,1300.0,33.65,12.7,48.5,1971-09-21,19095
Bolivia,LATIN AMER. & CARIB,8989046,1098580,2400.0,23.3,7.53,8.2,,0
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,6100.0,8.77,8.27,88.0,,0
Botswana,SUB-SAHARAN AFRICA,1639833,600370,9000.0,23.08,29.5,2.7,1966-10-17,20895
Brazil,LATIN AMER. & CARIB,188078227,8511965,7600.0,16.56,6.17,22.1,1945-10-24,28558
British Virgin Is.,LATIN AMER. & CARIB,23098,153,16000.0,14.89,4.42,151.0,,0
Brunei,ASIA (EX. NEAR EAST),379444,5770,18600.0,18.79,3.45,65.8,,0
Bulgaria,EASTERN EUROPE,7385367,110910,7600.0,9.65,14.27,66.6,1955-12-14,24855
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,1100.0,45.62,15.6,50.7,1960-09-20,23113
